"Date Printed: Wednesday, July 15, 2026 8:56:34 AM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | 2024 | 2025 | Florida | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   NA - Not Applicable.



Indicator,Year,Cases,Rate per 100000
"HIV diagnoses","2025","3,631","Data not available"
"HIV diagnoses","2024","4,329","21.4"
"HIV diagnoses","2023","4,416","22.3"
"HIV diagnoses","2022","4,263","22.1"
"HIV diagnoses","2021","3,868","20.5"
"HIV diagnoses","2020 (COVID-19 Pandemic)","3,186","17.2"
"HIV diagnoses","2019","3,978","21.5"
"HIV diagnoses","2018","4,159","22.8"
"HIV diagnoses","2017","4,266","23.7"
"HIV diagnoses","2016","4,387","24.9"
"HIV diagnoses","2015","4,400","25.4"
"HIV diagnoses","2014","4,311","25.4"
"HIV diagnoses","2013","4,189","25.1"
"HIV diagnoses","2012","4,257","25.9"
"HIV diagnoses","2011","4,466","27.5"
"HIV diagnoses","2010","4,542","28.4"
"HIV diagnoses","2009","4,939","31.6"
"HIV diagnoses","2008","5,691","36.7"
